uniprot_id,protein_name,n_entries,n_assigned,n_dropped,n_pockets,pocket_sizes
Q14397,GLUCOKINASE REGULATORY PROTEIN,10,10.0,0.0,2,"[9, 1]"
P00519,ABL TYROSINE KINASE,19,12.0,7.0,2,"[4, 8]"
Q4DA73,"Spermidine synthase, putative",2,2.0,0.0,2,"[1, 1]"
P35790,Choline kinase alpha,13,13.0,0.0,2,"[12, 1]"
P61823,RIBONUCLEASE A,22,22.0,0.0,2,"[5, 17]"
Q99AU2,RNA-directed RNA polymerase,6,6.0,0.0,2,"[3, 3]"
Q9K169,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,2,2.0,0.0,2,"[1, 1]"
P02638,Protein S100-B,2,2.0,0.0,2,"[1, 1]"
P60472,Undecaprenyl pyrophosphate synthetase,15,15.0,0.0,2,"[7, 8]"
Q8TF76,Serine/threonine-protein kinase haspin,10,10.0,0.0,2,"[7, 3]"
Q14145,Kelch-like ECH-associated protein 1,7,7.0,0.0,2,"[6, 1]"
P08254,STROMELYSIN-1,18,18.0,0.0,2,"[2, 16]"
P22629,STREPTAVIDIN,27,27.0,0.0,2,"[26, 1]"
P36969,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",3,3.0,0.0,2,"[2, 1]"
Q9H7B4,Histone-lysine N-methyltransferase SMYD3,3,3.0,0.0,2,"[2, 1]"
P56740,Dihydroneopterin aldolase,2,2.0,0.0,2,"[1, 1]"
P37231,PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR GAMMA,49,48.0,1.0,2,"[4, 44]"
P22734,CATECHOL-O-METHYLTRANSFERASE,21,17.0,4.0,2,"[16, 1]"
Q04760,PROTEIN (LACTOYLGLUTATHIONE LYASE),2,2.0,0.0,2,"[1, 1]"
I6L8L2,ACHBP,3,3.0,0.0,2,"[2, 1]"
P63165,Small ubiquitin-related modifier 1,2,2.0,0.0,2,"[1, 1]"
Q9PTN2,Vitamin D3 receptor A,7,7.0,0.0,2,"[2, 5]"
P00735,EPSILON-THROMBIN,4,4.0,0.0,2,"[3, 1]"
P21836,acetylcholinesterase,11,11.0,0.0,2,"[3, 8]"
P21645,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,2,2.0,0.0,2,"[1, 1]"
Q9NR97,Toll-like receptor 8,3,3.0,0.0,2,"[2, 1]"
Q9CPU0,Glyoxalase I,3,3.0,0.0,2,"[2, 1]"
P93343,14-3-3-LIKE PROTEIN C,3,3.0,0.0,2,"[2, 1]"
P0A7D4,ADENYLOSUCCINATE SYNTHETASE,4,4.0,0.0,2,"[3, 1]"
Q9C2K9,Importin subunit alpha,2,2.0,0.0,2,"[1, 1]"
Q00959,N-methyl-D-aspartate receptor NMDAR2A subunit,8,8.0,0.0,2,"[2, 6]"
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,4,3.0,1.0,2,"[2, 1]"
Q9FUZ2,Peptide deformylase 1B,5,5.0,0.0,2,"[4, 1]"
O75164,JMJC DOMAIN-CONTAINING HISTONE DEMETHYLATION PROTEIN 3A,25,24.0,1.0,2,"[2, 22]"
Q9PPB4,4-hydroxy-tetrahydrodipicolinate synthase,2,2.0,0.0,2,"[1, 1]"
Q15119,PYRUVATE DEHYDROGENASE KINASE ISOENZYME 2,8,8.0,0.0,2,"[7, 1]"
P00533,Epidermal growth factor receptor,24,23.0,1.0,2,"[22, 1]"
P19793,Retinoic acid receptor RXR-alpha,14,14.0,0.0,2,"[2, 12]"
Q80J95,RNA polymerase,3,3.0,0.0,2,"[2, 1]"
P00636,"FRUCTOSE-1,6-BISPHOSPHATASE",3,3.0,0.0,2,"[2, 1]"
B0R5M0,VNG1446H,4,4.0,0.0,2,"[3, 1]"
P09958,Furin,13,13.0,0.0,2,"[12, 1]"
P68400,Casein kinase II subunit alpha,34,34.0,0.0,2,"[3, 31]"
P31335,Bifunctional purine biosynthesis protein PURH,5,5.0,0.0,2,"[3, 2]"
C1JZ07,Surface (S-) layer glycoprotein,4,4.0,0.0,2,"[3, 1]"
P19491,GLUTAMATE RECEPTOR SUBUNIT 2,55,55.0,0.0,2,"[50, 5]"
P31749,RAC-ALPHA SERINE/THREONINE-PROTEIN KINASE,12,10.0,2.0,2,"[9, 1]"
P31939,Bifunctional purine biosynthesis protein PURH,2,2.0,0.0,2,"[1, 1]"
P31947,14-3-3 protein sigma,13,13.0,0.0,2,"[10, 3]"
Q03555,gephyrin,2,2.0,0.0,2,"[1, 1]"
P28482,ERK2,37,37.0,0.0,2,"[2, 35]"
P08235,Mineralocorticoid receptor,19,19.0,0.0,2,"[18, 1]"
P9WHE9,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",3,3.0,0.0,2,"[2, 1]"
Q9ZLT0,GLUTAMATE RACEMASE,2,2.0,0.0,2,"[1, 1]"
O53512,Probable 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG,2,2.0,0.0,2,"[1, 1]"
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,13,13.0,0.0,2,"[12, 1]"
P14324,Farnesyl pyrophosphate synthetase,34,34.0,0.0,2,"[11, 23]"
P06730,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E,8,8.0,0.0,2,"[7, 1]"
P43490,Nicotinamide phosphoribosyltransferase,26,26.0,0.0,2,"[25, 1]"
P00268,"P2Y purinoceptor 1, Rubredoxin, P2Y purinoceptor 1",2,2.0,0.0,2,"[1, 1]"
P52045,Methylmalonyl-CoA decarboxylase,3,3.0,0.0,2,"[2, 1]"
O15530,3-PHOSPHOINOSITIDE DEPENDENT PROTEIN KINASE-1,31,29.0,2.0,2,"[4, 25]"
P04191,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,2,2.0,0.0,2,"[1, 1]"
Q5G940,(3R)-hydroxymyristoyl-acyl carrier protein dehydratase,9,9.0,0.0,2,"[8, 1]"
Q5HSJ4,ATP phosphoribosyltransferase,2,2.0,0.0,2,"[1, 1]"
P06400,RETINOBLASTOMA PROTEIN,3,3.0,0.0,2,"[2, 1]"
P45983,Mitogen-activated protein kinase 8,9,9.0,0.0,2,"[2, 7]"
Q8I5R7,Proline--tRNA ligase,2,2.0,0.0,2,"[1, 1]"
P51449,Nuclear receptor ROR-gamma,41,41.0,0.0,2,"[5, 36]"
O43318,Mitogen-activated protein kinase kinase kinase 7/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 chimera,3,3.0,0.0,2,"[2, 1]"
P06276,CHOLINESTERASE,10,10.0,0.0,2,"[9, 1]"
D9IEF7,"Lysozyme,DCN1-like protein 1 fusion",3,3.0,0.0,2,"[2, 1]"
Q6B856,Tubulin beta-2B chain,8,8.0,0.0,2,"[5, 3]"
P12499,HIV-1 PROTEASE,10,10.0,0.0,2,"[2, 8]"
Q13153,Serine/threonine-protein kinase PAK 1,15,15.0,0.0,2,"[2, 13]"
P50097,Inosine-5'-monophosphate dehydrogenase,4,4.0,0.0,2,"[3, 1]"
Q9HYN5,PSEUDOMONAS AERUGINOSA LECTIN II,10,10.0,0.0,2,"[9, 1]"
P05896,SIV PROTEASE,2,2.0,0.0,2,"[1, 1]"
P04818,THYMIDYLATE SYNTHASE,5,5.0,0.0,2,"[3, 2]"
Q92731,Estrogen receptor beta,15,15.0,0.0,2,"[14, 1]"
Q5SLE7,Peptidyl-prolyl cis-trans isomerase SlyD,2,2.0,0.0,2,"[1, 1]"
Q93009,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 7,9,7.0,2.0,2,"[6, 1]"
P0AD64,Beta-lactamase SHV-1,9,9.0,0.0,2,"[2, 7]"
P9WNP1,Probable enoyl-CoA hydratase echA6,4,4.0,0.0,2,"[3, 1]"
Q8XXK6,LECTIN,2,2.0,0.0,2,"[1, 1]"
P25321,cAMP-dependent protein kinase catalytic subunit alpha,8,8.0,0.0,2,"[5, 3]"
P03372,ESTROGEN RECEPTOR ALPHA,55,55.0,0.0,2,"[10, 45]"
P55212,Caspase-6,5,5.0,0.0,2,"[4, 1]"
P11797,CHITINASE B,7,7.0,0.0,2,"[6, 1]"
P25774,Cathepsin S,12,12.0,0.0,2,"[11, 1]"
P15056,AKAP9-BRAF fusion protein,9,9.0,0.0,2,"[8, 1]"
Q13526,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE NIMA-INTERACTING 1,15,15.0,0.0,2,"[14, 1]"
P55072,Transitional endoplasmic reticulum ATPase,3,3.0,0.0,2,"[2, 1]"
Q8WTS6,Histone-lysine N-methyltransferase SETD7,9,9.0,0.0,2,"[8, 1]"
Q8WSF8,ACETYLCHOLINE-BINDING PROTEIN,24,24.0,0.0,2,"[20, 4]"
P42262,Glutamate receptor 2,4,4.0,0.0,2,"[3, 1]"
O05205,mitomycin-binding protein,2,2.0,0.0,2,"[1, 1]"
P39900,MACROPHAGE METALLOELASTASE,43,43.0,0.0,2,"[42, 1]"
Q9WMX2,RNA-directed RNA polymerase,5,5.0,0.0,2,"[4, 1]"
Q53EZ4,Centrosomal protein of 55 kDa,2,2.0,0.0,2,"[1, 1]"
P08069,Insulin-like growth factor 1 receptor precursor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD221 antigen),14,14.0,0.0,2,"[13, 1]"
P02879,Ricin,2,2.0,0.0,2,"[1, 1]"
P00352,Retinal dehydrogenase 1,5,5.0,0.0,2,"[4, 1]"
P83916,Chromobox protein homolog 1,3,3.0,0.0,2,"[2, 1]"
Q08881,Tyrosine-protein kinase ITK/TSK,20,19.0,1.0,2,"[3, 16]"
O14757,Serine/threonine-protein kinase Chk1,73,73.0,0.0,2,"[70, 3]"
Q96RI1,Bile acid receptor,41,40.0,1.0,2,"[39, 1]"
P42574,Caspase-3,5,5.0,0.0,2,"[3, 2]"
P53779,Mitogen-activated protein kinase 10,35,35.0,0.0,2,"[2, 33]"
P14780,Matrix metalloproteinase-9 (MMP-9) (92 kDa type IV collagenase) (92 kDa gelatinase) (Gelatinase B) (GELB),9,9.0,0.0,2,"[8, 1]"
P03433,Polymerase acidic protein,3,3.0,0.0,2,"[2, 1]"
Q194T1,Neuraminidase,3,3.0,0.0,1,[3]
Q16875,"6-PHOSPHOFRUCTO-2-KINASE/FRUCTOSE-2,6-BISPHOSPHATASE 3",9,9.0,0.0,1,[9]
Q1D4I5,"Transcriptional regulator, TetR family",1,,,1,[1]
Q16790,CARBONIC ANHYDRASE 9,7,7.0,0.0,1,[7]
Q16576,Histone-binding protein RBBP7,1,,,1,[1]
Q16512,Serine/threonine-protein kinase N1,2,2.0,0.0,1,[2]
Q16620,BDNF/NT-3 GROWTH FACTORS RECEPTOR,3,3.0,0.0,1,[3]
Q16873,Leukotriene C4 synthase,1,,,1,[1]
Q18014,PUTATIVE GDP-FUCOSE PROTEIN O-FUCOSYLTRANSFERASE 1,2,2.0,0.0,1,[2]
Q16Y94,AAEL008620-PA odorant-binding protein,1,,,1,[1]
Q1A2D0,XYLOGLUCANASE,2,2.0,0.0,1,[2]
Q19905,UDP-glucose 6-dehydrogenase,1,,,1,[1]
Q16769,Glutaminyl-peptide cyclotransferase,3,3.0,0.0,1,[3]
Q16644,MAP kinase-activated protein kinase 3,2,2.0,0.0,1,[2]
Q16654,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,2,2.0,0.0,1,[2]
Q16552,Interleukin-17A,1,,,1,[1]
Q16658,Fascin,4,4.0,0.0,1,[4]
Q16602,Calcitonin gene-related peptide type 1 receptor,1,,,1,[1]
A0A024E3Q2,Neuraminidase,4,4.0,0.0,1,[4]
Q16288,NT-3 growth factor receptor,4,4.0,0.0,1,[4]
Q13427,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE G,1,,,1,[1]
Q13882,Protein-tyrosine kinase 6,4,4.0,0.0,1,[4]
Q13822,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,3,3.0,0.0,1,[3]
Q13635,Protein patched homolog 1,1,,,1,[1]
Q13627,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,11,11.0,0.0,1,[11]
Q13546,Receptor-interacting serine/threonine-protein kinase 1,4,4.0,0.0,1,[4]
Q13523,Serine/threonine-protein kinase PRP4 homolog,1,,,1,[1]
Q13490,Baculoviral IAP repeat-containing protein 2,6,6.0,0.0,1,[6]
Q13464,Rho-associated protein kinase 1,1,,,1,[1]
Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,15,15.0,0.0,1,[15]
Q13432,Protein unc-119 homolog A,2,2.0,0.0,1,[2]
Q13370,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",1,,,1,[1]
Q13976,PRKG1 protein,3,2.0,1.0,1,[2]
Q13285,Steroidogenic factor 1,1,,,1,[1]
Q13231,CHITOTRIOSIDASE-1,6,6.0,0.0,1,[6]
Q13188,Serine/threonine-protein kinase 3,1,,,1,[1]
Q13164,Mitogen-activated protein kinase 7,5,5.0,0.0,1,[5]
Q13133,Oxysterols receptor LXR-alpha,3,3.0,0.0,1,[3]
Q13126,5'-Deoxy-5'-Methylthioadenosine Phosphorylase,5,5.0,0.0,1,[5]
Q13093,Platelet-activating factor acetylhydrolase,15,15.0,0.0,1,[15]
Q13002,"Glutamate receptor ionotropic, kainate 2",1,,,1,[1]
Q12QS6,Avidin/streptavidin,1,,,1,[1]
Q12959,Disks large homolog 1,2,2.0,0.0,1,[2]
Q13946,"High-affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",4,4.0,0.0,1,[4]
Q14149,MORC family CW-type zinc finger protein 3,4,4.0,0.0,1,[4]
Q16186,Proteasomal ubiquitin receptor ADRM1,1,,,1,[1]
Q15046,Lysine--tRNA ligase,1,,,1,[1]
Q15759,Mitogen-activated protein kinase 11,1,,,1,[1]
Q15561,Transcriptional enhancer factor TEF-3,2,2.0,0.0,1,[2]
Q15554,Telomeric repeat-binding factor 2,1,,,1,[1]
Q15418,Ribosomal protein S6 kinase alpha-1,1,,,1,[1]
Q15326,Zinc finger MYND domain-containing protein 11,1,,,1,[1]
Q15303,Receptor tyrosine-protein kinase erbB-4,1,,,1,[1]
Q15120,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3,1,,,1,[1]
Q15118,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1,1,,,1,[1]
Q15080,NEUTROPHIL CYTOSOL FACTOR 4,1,,,1,[1]
Q15047,Histone-lysine N-methyltransferase SETDB1,1,,,1,[1]
Q14U76,Bone sialoprotein-binding protein,1,,,1,[1]
Q14160,Protein scribble homolog,3,3.0,0.0,1,[3]
Q14832,Metabotropic glutamate receptor 3,1,,,1,[1]
Q14790,Caspase-8,2,2.0,0.0,1,[2]
Q14781,Chromobox protein homolog 2,1,,,1,[1]
Q14680,MATERNAL EMBRYONIC LEUCINE ZIPPER KINASE,12,10.0,2.0,1,[10]
Q14498,RNA-binding protein 39,1,,,1,[1]
Q14451,Growth factor receptor-bound protein 7,5,5.0,0.0,1,[5]
Q1PBJ5,Apical membrane antigen-1,2,2.0,0.0,1,[2]
Q14416,Metabotropic glutamate receptor 2,2,2.0,0.0,1,[2]
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,1,,,1,[1]
Q14289,Protein tyrosine kinase 2 beta,8,7.0,1.0,1,[7]
Q1DB04,Mutual gliding-motility protein MglA,1,,,1,[1]
Q2HRB6,KSHV Protease,2,2.0,0.0,1,[2]
Q1R3F7,"PhnD, subunit of alkylphosphonate ABC transporter",1,,,1,[1]
Q57ZL6,Inosine-adenosine-guanosine-nucleoside hydrolase,4,4.0,0.0,1,[4]
Q57884,Probable hydrogenase nickel incorporation protein hypB,1,,,1,[1]
Q57265,Polysialic acid capsule biosynthesis protein SiaC,1,,,1,[1]
Q56691,NADPH-FLAVIN OXIDOREDUCTASE,1,,,1,[1]
Q55467,Magnesium-protoporphyrin O-methyltransferase,1,,,1,[1]
Q54276,CHITINASE B,1,,,1,[1]
Q541D8,Beta-lactamase,1,,,1,[1]
Q53GL7,Poly [ADP-ribose] polymerase 10,1,,,1,[1]
Q53793,bleomycin-binding protein,1,,,1,[1]
Q52L95,8B10 light chain,1,,,1,[1]
Q52012,"ABC transporter, substrate binding protein (Agrocinopines A and B)",6,6.0,0.0,1,[6]
Q51948,2-hydroxychromene-2-carboxylate isomerase,1,,,1,[1]
Q51792,Phenazine biosynthesis protein phzF,1,,,1,[1]
Q51504,Penicillin-binding protein 3,1,,,1,[1]
Q51400,BETA-LACTAMASE,1,,,1,[1]
Q504Y3,Zinc finger CW-type PWWP domain protein 2,1,,,1,[1]
Q4WPS9,CaaX farnesyltransferase beta subunit Ram1,2,2.0,0.0,1,[2]
Q4W803,Oligopeptidase,2,2.0,0.0,1,[2]
Q4VSJ8,AHL synthase,1,,,1,[1]
Q4QC75,THYMIDINE KINASE,1,,,1,[1]
Q4QBL1,Farnesyl pyrophosphate synthase,2,2.0,0.0,1,[2]
Q4QAU9,fumarate hydratase,1,,,1,[1]
Q4MV79,Putative ADP-ribosyltransferase Certhrax,1,,,1,[1]
Q4LB86,NEURAMINIDASE,1,,,1,[1]
Q4FZB7,Histone-lysine N-methyltransferase SUV420H1,1,,,1,[1]
Q4DSV5,"Protein kinase A regulatory subunit, putative",1,,,1,[1]
Q4ACU6,SH3 and multiple ankyrin repeat domains protein 3,1,,,1,[1]
Q48935,Acetylpolyamine aminohydrolase,5,5.0,0.0,1,[5]
Q57986,FERROUS IRON TRANSPORT PROTEIN B HOMOLOG,2,2.0,0.0,1,[2]
Q581W1,Pteridine reductase 1,3,3.0,0.0,1,[3]
Q1RBS0,Fml fimbrial adhesin FmlD,3,3.0,0.0,1,[3]
Q58206,Uncharacterized ABC transporter ATP-binding protein MJ0796,1,,,1,[1]
Q5TCY1,TAU-TUBULIN KINASE 1,1,,,1,[1]
Q5T2W1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,1,,,1,[1]
Q5T1C6,Thioesterase superfamily member 4,1,,,1,[1]
Q5SLI8,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,2,2.0,0.0,1,[2]
Q5SLD7,"ABC transporter, periplasmic substrate-binding protein",7,7.0,0.0,1,[7]
Q5SKC5,Uracil-DNA Glycosylase,1,,,1,[1]
Q5SH52,GTP cyclohydrolase I,2,2.0,0.0,1,[2]
Q5RZ09,POL PROTEIN,1,,,1,[1]
Q5RZ08,Protease,5,5.0,0.0,1,[5]
Q5NGA7,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase/dihydropteroate synthase,1,,,1,[1]
Q5M586,Ferrous iron uptake transporter protein B,1,,,1,[1]
Q5JIH4,"ATPase involved in chromosome partitioning, ParA/MinD family, Mrp homolog",1,,,1,[1]
Q5JD38,tRNA (guanine(9)-/adenine(9)-N1)-methyltransferase,1,,,1,[1]
Q5HGZ3,Peptide deformylase,4,4.0,0.0,1,[4]
Q5HEB7,D-alanine-D-alanine ligase,1,,,1,[1]
Q5F9M1,"PUTATIVE ABC TRANSPORTER, PERIPLASMIC BINDING PROTEIN, AMINO ACID",1,,,1,[1]
Q5F4T5,Capsid protein,1,,,1,[1]
Q5EP34,Polymerase protein PA,1,,,1,[1]
Q5EK40,Cholix toxin,1,,,1,[1]
Q5CR27,Lysine--tRNA ligase,1,,,1,[1]
Q5A9A4,POTENTIAL CYTOSOLIC LEUCYL TRNA SYNTHETASE,1,,,1,[1]
Q5A4W8,Bromodomain-containing factor 1,3,3.0,0.0,1,[3]
Q59310,EXO-ALPHA-SIALIDASE,1,,,1,[1]
Q58L87,TETR FAMILY TRANSCRIPTIONAL REPRESSOR LFRR,1,,,1,[1]
Q58F21,Bromodomain testis-specific protein,1,,,1,[1]
Q58EU8,PROTEIN (IG ANTIBODY D2.3 (LIGHT CHAIN)),1,,,1,[1]
Q58494,Uncharacterized protein MJ1094,1,,,1,[1]
Q48255,3-DEHYDROQUINATE DEHYDRATASE,4,4.0,0.0,1,[4]
Q47537,Taurine-binding periplasmic protein,2,2.0,0.0,1,[2]
Q47506,MccB protein,1,,,1,[1]
Q47212,F18 FIMBRIAL ADHESIN AC,1,,,1,[1]
Q2MFS1,oxidase/hydroxylase,1,,,1,[1]
Q2LG68,Polymerase basic protein 2,1,,,1,[1]
Q2LAE1,Histone-lysine N-methyltransferase ASHH2,1,,,1,[1]
Q12866,Tyrosine-protein kinase Mer,2,2.0,0.0,1,[2]
Q2G258,Biotin Protein Ligase,1,,,1,[1]
Q2G229,PSTA,1,,,1,[1]
Q2G0Q5,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,5,5.0,0.0,1,[5]
Q2G036,ATP-dependent Clp protease proteolytic subunit,1,,,1,[1]
Q2FXC2,Serine protease splA,1,,,1,[1]
Q2FWC7,Type II pantothenate kinase,2,2.0,0.0,1,[2]
Q2FVW9,FHUD2,1,,,1,[1]
Q2FVE7,Nickel ABC transporter substrate-binding protein,3,3.0,0.0,1,[3]
Q28175,Retinoid isomerohydrolase,4,4.0,0.0,1,[4]
Q27546,INOSINE-URIDINE NUCLEOSIDE N-RIBOHYDROLASE,1,,,1,[1]
Q27450,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE 1,1,,,1,[1]
Q26997,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,2,2.0,0.0,1,[2]
Q26710,"Alternative oxidase, mitochondrial",1,,,1,[1]
Q26490,retinol dehydratase,1,,,1,[1]
Q25756,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE,2,2.0,0.0,1,[2]
Q25252,Carboxylic ester hydrolase,1,,,1,[1]
Q24973,GUANINE PHOSPHORIBOSYLTRANSFERASE,1,,,1,[1]
Q24451,ALPHA-MANNOSIDASE II,15,15.0,0.0,1,[15]
Q24306,APOPTOSIS 1 INHIBITOR,1,,,1,[1]
Q24117,"Dynein light chain 1, cytoplasmic",3,3.0,0.0,1,[3]
Q20R18,Neuraminidase,1,,,1,[1]
Q20305,Protein HTP-1,1,,,1,[1]
Q1W640,OBP14,3,3.0,0.0,1,[3]
Q2MHR1,Okadaic acid binding protein 2-alpha,1,,,1,[1]
Q2QEH4,Vacuolar saporin,3,3.0,0.0,1,[3]
Q2V6H4,Chitinase,2,2.0,0.0,1,[2]
Q41931,1-aminocyclopropane-1-carboxylate oxidase 2,1,,,1,[1]
Q47066,Beta-lactamase Toho-1,1,,,1,[1]
Q47030,Aminoglycoside N(3)-acetyltransferase,2,2.0,0.0,1,[2]
Q46822,ISOPENTENYL DIPHOSPHATE DELTA-ISOMERASE,2,2.0,0.0,1,[2]
Q46604,PROTEIN (FMN-BINDING PROTEIN),1,,,1,[1]
Q46389,5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase,1,,,1,[1]
Q460N5,Poly [ADP-ribose] polymerase 14,9,3.0,6.0,1,[3]
Q460N3,Poly [ADP-ribose] polymerase 15,1,,,1,[1]
Q46085,ColH protein,1,,,1,[1]
Q45462,Osmotically activated L-carnitine/choline ABC transporter substrate-binding protein OpuCC,1,,,1,[1]
Q45222,Uncharacterized protein blr2150,1,,,1,[1]
Q43965,MopR,1,,,1,[1]
Q43088,"Ribulose-1,5 bisphosphate carboxylase/oxygenase",2,2.0,0.0,1,[2]
Q3ZC95,Non-specific protein-tyrosine kinase,1,,,1,[1]
Q2YIM3,Oxidoreductase,1,,,1,[1]
Q3TBT3,Stimulator of interferon genes protein,2,2.0,0.0,1,[2]
Q3S340,Neuraminidase,1,,,1,[1]
Q3J1R2,"TRAP-T family sorbitol/mannitol transporter, periplasmic binding protein, SmoM",1,,,1,[1]
Q3IWB0,Putative histidine ammonia-lyase,1,,,1,[1]
Q396C9,Phenazine biosynthesis protein A/B,3,3.0,0.0,1,[3]
Q38CA1,"Hypoxanthine-guanine phosphoribosyltransferase, putative",2,2.0,0.0,1,[2]
Q38C91,Methionyl-tRNA synthetase,8,8.0,0.0,1,[8]
Q38BV6,Enolase,2,2.0,0.0,1,[2]
Q386Q8,UDP-N-ACETYLGLUCOSAMINE PYROPHOSPHORYLASE,1,,,1,[1]
Q381A3,Intraflagellar transport protein 22,1,,,1,[1]
Q32ZE1,NS3 protease,2,2.0,0.0,1,[2]
Q2YQ76,Methionine--tRNA ligase,1,,,1,[1]
Q12931,"Heat shock protein 75 kDa, mitochondrial",1,,,1,[1]
Q07912,Activated CDC42 kinase 1,2,2.0,0.0,1,[2]
Q12852,Mitogen-activated protein kinase kinase kinase 12,3,3.0,0.0,1,[3]
P62575,NEURAMINIDASE A,2,2.0,0.0,1,[2]
P68135,"Actin, alpha skeletal muscle",1,,,1,[1]
P66937,"DNA GYRASE SUBUNIT B, DNA GYRASE SUBUNIT A",1,,,1,[1]
P65249,Thymidylate kinase,1,,,1,[1]
P65248,Thymidylate kinase,1,,,1,[1]
P63820,Phosphopantetheine adenylyltransferase,3,3.0,0.0,1,[3]
P63167,"DYNEIN LIGHT CHAIN 1, CYTOPLASMIC",2,2.0,0.0,1,[2]
P63104,14-3-3 PROTEIN ZETA,11,11.0,0.0,1,[11]
P63086,Mitogen-activated protein kinase 1,5,5.0,0.0,1,[5]
P63000,ras-related C3 botulinum toxin substrate 1 isoform Rac1b,2,2.0,0.0,1,[2]
P62993,GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2,13,12.0,1.0,1,[12]
P62942,FK506 BINDING PROTEIN,9,9.0,0.0,1,[9]
P62937,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,14,14.0,0.0,1,[14]
P62745,Rho-related GTP-binding protein RhoB,1,,,1,[1]
