uniprot_id,protein_name,organism,classification,n_entries,pdb_codes
P00742,BLOOD COAGULATION FACTOR XA,Homo sapiens,BLOOD COAGULATION FACTOR,89,"1ezq,1f0r,1f0s,1fjs,1g2l,1ksn,1lpg,1lpk,1lpz,1mq5,1mq6,1nfu,1nfw,1nfx,1nfy,1v3x,1wu1,1xka,1z6e,2boh,2bok,2bq7,2cji,2ei6,2fzz,2g00,2j2u,2j34,2j4i,2j94,2j95,2jkh,2p16,2p93,2p94,2p95,2phb,2q1j,2ra0,2uwl,2uwo,2uwp,2vh0,2vh6,2vvc,2vvu,2vvv,2vwl,2vwm,2vwn,2vwo,2w26,2w3i,2w3k,2wyg,2wyj,2xbv,2xbw,2xbx,2xc0,2xc4,2y5f,2y5g,2y5h,2y7x,2y7z,2y80,2y81,2y82,3cen,3cs7,3ens,3ffg,3hpt,3k9x,3kl6,3kqb,3kqc,3kqe,3liw,3m36,3m37,3q3k,3sw2,4a7i,4bti,4btu,4y79,5k0h"
P03367,HIV-1 PROTEASE,Human immunodeficiency virus 1,HYDROLASE(ACID PROTEASE),79,"1a94,1aaq,1d4y,1dif,1hpo,1hpx,1hsg,1hvl,1iiq,1izi,1lzq,1m0b,1mrw,1mrx,1msm,1msn,1nh0,1sdt,1sdu,1sdv,1sgu,1sh9,2az8,2az9,2azb,2azc,2ien,2o4k,2o4l,2o4n,2o4p,2o4s,2p3b,2pk5,2pk6,2pqz,2pwc,2pwr,2pym,2pyn,2q63,2q64,2qci,2qd6,2qd7,2qd8,2qnn,2qnp,2qnq,2r43,2z4o,3a2o,3bva,3bvb,3ckt,3djk,3dk1,3ggu,3h5b,3i6o,3kdb,3kdc,3kdd,3pwm,3st5,3t3c,3ttp,3u7s,3vf5,3vf7,3vfb,4dfg,4hdb,4hdf,4hdp,4heg,4hla,4ll3,7upj"
O14757,Serine/threonine-protein kinase Chk1,Homo sapiens,TRANSFERASE,73,"1nvq,1nvr,1nvs,2br1,2brg,2brm,2bro,2c3j,2c3l,2e9n,2e9o,2e9u,2e9v,2hog,2hxl,2hxq,2hy0,2qhm,2qhn,2r0u,2wmv,2wmw,2wmx,2x8d,2x8e,2x8i,2xez,2ydi,2ydj,2ydk,2yer,2yex,2ym3,2ym4,2ym5,2ym6,2ym7,2ym8,3f9n,3jvr,3jvs,3nlb,3ot3,3ot8,3pa3,3pa4,3pa5,3tkh,3tki,4hyh,4hyi,4jik,4qye,4qyg,4qyh,4rvk,4rvl,4rvm,5dls,5f4n,5oot,5op2,5op4,5op5,5opb,5opr,5ops,5opu,5opv,5oq5,5oq6,5oq7,5oq8"
Q00987,Ubiquitin-protein ligase E3 Mdm2,Homo sapiens,LIGASE,62,"1rv1,2axi,2gv2,3iux,3iwy,3jzk,3jzr,3jzs,3lbk,3lbl,3tpx,3tu1,3w69,4dij,4ere,4erf,4hbm,4hg7,4jv7,4jv9,4jve,4jwr,4mdn,4mdq,4oas,4oba,4occ,4ode,4odf,4ogn,4ogt,4ogv,4oq3,4qo4,4qoc,4ud7,4ue1,4umn,4wt2,4zfi,4zgk,4zyc,4zyf,4zyi,5hmh,5hmi,5hmk,5j7f,5j7g,5lav,5law,5laz,5oai,5trf,5vk0,5xxk,6ggn,6i3s,6q96,6q9h,6q9l,6q9o"
P11309,Proto-oncogene serine/threonine-protein kinase Pim-1,Homo sapiens,TRANSFERASE,62,"1xws,1yhs,1yi3,2c3i,2j2i,2o3p,2o63,2o64,2obj,2xj1,2xj2,3bgq,3bgz,3bwf,3cy2,3f2a,3jpv,3jy0,3jya,3ma3,3r00,3r02,3r04,3uix,3umw,3vbq,3vbv,3vbw,3vc4,4a7c,4alw,4bzn,4bzo,4gw8,4jx7,4k0y,4k18,4k1b,4lm5,4lmu,4mbi,4n6z,4n70,4wrs,4wsy,4wt6,4xh6,4xhk,5dgz,5dhj,5dia,5dwr,5eol,5ipj,5kcx,5kzi,5o11,5tex,5toe,5v82,6mt0,6no9"
P02766,TRANSTHYRETIN,Homo sapiens,RETINOL-BINDING,57,"1bm7,1e4h,1e5a,1tyr,2b9a,2f7i,2f8i,2g5u,3cfn,3cn0,3d2t,3fc8,3fcb,3gs7,3ipb,3ipe,3kgt,3kgu,3nee,3neo,3nes,3nex,3p3r,3p3s,3p3t,3p3u,3tct,4abu,4abv,4d7b,4der,4des,4det,4deu,4dew,4hiq,4his,4ydn,5a6i,5ayt,5boj,5en3,5ihh,5jiq,5l4f,5l4i,5l4m,5u48,5u49,5u4a,5u4b,5u4c,5u4d,5u4e,5u4g,6gr7,6grp"
P03369,HIV-1 PROTEASE,Human immunodeficiency virus 1,HYDROLASE/HYDROLASE INHIBITOR,56,"1b6j,1b6k,1b6l,1b6m,1cpi,1d4k,1d4l,1kzk,1mtr,1z1h,1z1r,2f3k,2fgu,2fgv,2qhy,2qhz,2qi0,2qi1,2qi3,2qi4,2qi5,2qi6,2qi7,3aid,3bxs,3ekp,3ekq,3ekt,3ekv,3ekw,3ekx,3eky,3el0,3el1,3el4,3el5,3el9,3fsm,3gi4,3gi5,3gi6,3hau,3haw,3hbo,3hlo,3i7e,3iaw,3ka2,3lzv,3mxd,3mxe,3o9f,3o9g,3o9h,3o9i,7hvp"
P03372,ESTROGEN RECEPTOR ALPHA,Homo sapiens,NUCLEAR RECEPTOR,55,"1qkt,1sj0,1uom,1x7r,1xp1,1xp6,1xp9,1xpc,1xqc,1zky,2ayr,2b1v,2b1z,2fai,2iog,2iok,2p15,2pog,2q70,2qa8,2qe4,2r6w,2r6y,3erd,3ert,4dma,4mg5,4mg6,4mg7,4mg8,4mg9,4mga,4mgb,4mgc,4pxm,5ak2,5dx3,5dxb,5dxe,5dxg,5fqp,5fqr,5fqs,5fqt,5fqv,5gs4,5hyr,5t92,5wgd,5wgq,6c42,6iar,6pit,6sq0,6suo"
P19491,GLUTAMATE RECEPTOR SUBUNIT 2,Rattus norvegicus,MEMBRANE PROTEIN,55,"1ftj,1ftl,1ftm,1fw0,1m5b,1m5c,1m5d,1m5e,1m5f,1mm6,1mm7,1mqd,1mqg,1mqh,1mqi,1mqj,1ms7,1mxu,1my2,1my3,1my4,1nnk,1p1n,1p1o,1syh,1syi,1wvj,1xhy,2al5,2i3v,2p2a,3bft,3bfu,3bki,3pd8,3pd9,3rtf,3tdj,3tza,4g8m,4igt,4n07,4o3b,4u4x,4x48,5cbr,5cbs,5elv,5fhm,5fhn,5fho,5ng9,5nih,6q54,6q60"
P00749,PROTEIN (UROKINASE-TYPE PLASMINOGEN ACTIVATOR),Homo sapiens,BLOOD CLOTTING,54,"1c5x,1ejn,1f5l,1gi8,1gi9,1gj7,1gj8,1gja,1gjb,1gjc,1gjd,1o3p,1o5a,1o5b,1o5c,1owd,1owe,1owh,1sc8,1sqa,1sqo,1sqt,1u6q,1vj9,1vja,1w0z,1w11,1w13,2nwn,2vip,2viq,2viv,2viw,2vnt,3ig6,3qn7,4gly,4jk5,4jk6,4mnw,4mny,4os1,4os2,4os6,4zhl,4zhm,5za7,5za8,5za9,5zae,5zaf,5zag,5zaj,5zc5"
O60674,Tyrosine-protein kinase JAK2,Homo sapiens,TRANSFERASE,53,"2b7a,2xa4,3e63,3e64,3fup,3iok,3jy9,3kck,3krr,3lpb,3q32,3rvg,3tjc,3ugc,4aqc,4bbe,4bbf,4c61,4d0w,4d0x,4d1s,4e6d,4e6q,4f09,4fvq,4fvr,4gfm,4gmy,4hge,4iva,4jia,4ytc,4ytf,4yth,5aep,5cf4,5cf5,5cf6,5cf8,5tq4,5tq5,5tq6,5tq7,5tq8,5usy,5usz,5ut0,5wev,5wij,5win,6aaj,6bbv,6g3c"
P18031,PROTEIN (PROTEIN-TYROSINE-PHOSPHATASE 1B),Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,53,"1bzh,1c84,1c88,1g7f,1g7g,1gfy,1kav,1l8g,1lqf,1nl9,1nny,1nz7,1ony,1onz,1pyn,1q6j,1q6m,1q6n,1q6p,1q6s,1q6t,1qxk,1xbo,2b07,2cm7,2cm8,2cma,2cmb,2cmc,2cne,2cnf,2cng,2cnh,2cni,2f6z,2f71,2fjm,2fjn,2h4g,2h4k,2nt7,2qbp,2qbq,2qbr,2qbs,2veu,2vev,2vew,2vex,2vey,2zmm,2zn7,3cwe"
P08581,Hepatocyte growth factor receptor,Homo sapiens,TRANSFERASE,51,"1r0p,2rfn,2wd1,2wgj,3c1x,3ccn,3cd8,3ce3,3cth,3ctj,3dkf,3efk,3f66,3f82,3l8v,3lq8,3q6w,3qti,3r7o,3rhk,3u6h,3u6i,3zbx,3zc5,3zcl,3zxz,3zze,4aoi,4ap7,4deg,4deh,4dei,4eev,4gg5,4gg7,4iwd,4knb,4mxc,4r1y,4xmo,4xyf,5eob,5eyc,5eyd,5hlw,5ho6,5hoa,5hor,5ya5,6sdd,6sde"
P37231,PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR GAMMA,Homo sapiens,TRANSCRIPTION,49,"1fm9,1i7i,1zeo,2ath,2f4b,2g0h,2gtk,2hfp,2i4j,2i4p,2i4z,2p4y,2q8s,2yfe,3ads,3b1m,3bc5,3cs8,3fej,3fur,3g9e,3h0a,3ia6,3lmp,3r5n,3r8i,3t03,3ty0,4a4v,4a4w,4r06,4xta,4xuh,4y29,5lsg,5two,5ugm,6avi,6c5q,6dgl,6dgq,6dha,6fzf,6fzg,6fzj,6fzp,6ilq,6md0,6md4"
P34913,"epoxide hydrolase 2, cytoplasmic",Homo sapiens,HYDROLASE,47,"1vj5,3ans,3ant,3i1y,3i28,3wk4,3wk6,4jnc,4x6x,4x6y,4y2x,4y2y,5ai5,5ai9,5aia,5ak3,5ak5,5ake,5akh,5aki,5akz,5ald,5ale,5alf,5alg,5alj,5alk,5all,5alm,5aln,5alo,5alu,5alw,5alx,5aly,5alz,5am0,5am1,5am2,5am3,5am4,5am5,5fp0,5mwa,6fr2,6hgv,6hgx"
Q04609,GLUTAMATE CARBOXYPEPTIDASE II,Homo sapiens,HYDROLASE,47,"2c6c,2jbj,2or4,2pvw,2xef,2xeg,2xei,2xej,3bhx,3bi0,3bi1,3d7d,3d7f,3d7g,3d7h,3iww,3rbu,3sjf,4lqg,4ngm,4ngr,4oc0,4oc1,4oc2,4oc3,4oc4,4oc5,4p44,4p45,4p4b,4p4d,4p4e,4p4f,4p4i,4p4j,4x3r,5d29,5ely,5of0,6ety,6ez9,6f5l,6fe5,6h7y,6h7z,6hkj,6hkz"
P00517,C-AMP-DEPENDENT PROTEIN KINASE,Bos taurus,TRANSFERASE/TRANSFERASE INHIBITOR,47,"1q8u,1q8w,1stc,1sve,1svg,1svh,1szm,1xh4,1xh5,1xh6,1xh7,1xh8,1xh9,1ydr,1yds,1ydt,2c1a,2c1b,2gnf,2gnh,2gni,2gnj,2jds,2jdt,2jdv,2oh0,2ojf,2uw0,2uw4,2uw5,2uw6,2uw7,2uzv,2vo7,3ag9,3bwj,3dne,3zo1,3zo2,3zo4,4c35,4c36,4c37,4c38,4z83,4z84,6e99"
P26663,HEPATITIS C VIRUS NS5B RNA-DEPENDENT RNA POLYMERASE,Hepatitis C virus subtype 1b,TRANSFERASE,43,"1nhu,1os5,2dxs,2hai,2hwh,2hwi,2i1r,2o5d,2wcx,2who,3br9,3cde,3cj4,3cj5,3co9,3cvk,3cwj,3d28,3d5m,3e51,3fqk,3frz,3g86,3gyn,3h59,3h5s,3h5u,3h98,3mf5,3vqs,4b71,4b73,4b74,4eo6,4eo8,4ih7,4kai,4kb7,4kbi,4mib,4mk8,4mk9,4mka"
